2018-12-14 14:43:31,400 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping 373 - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-14 14:43:31,401 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping 373 - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-14 14:43:31,488 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping 373 - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-14 14:43:31,990 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter 434 - Registering beans for JMX exposure on startup
2018-12-14 14:43:31,991 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter 896 - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-12-14 14:43:31,998 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter 669 - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2018-12-14 14:43:32,016 [main] INFO  o.a.coyote.http11.Http11NioProtocol 180 - Starting ProtocolHandler ["http-nio-8111"]
2018-12-14 14:43:32,037 [main] INFO  o.a.tomcat.util.net.NioSelectorPool 180 - Using a shared selector for servlet write/read
2018-12-14 14:43:32,080 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 205 - Tomcat started on port(s): 8111 (http) with context path ''
2018-12-14 14:43:32,084 [main] INFO  com.cfygit.parent.ParentApplication 59 - Started ParentApplication in 9.718 seconds (JVM running for 12.758)
2018-12-14 14:44:30,763 [http-nio-8111-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 180 - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-12-14 14:44:30,764 [http-nio-8111-exec-1] INFO  o.s.web.servlet.DispatcherServlet 494 - FrameworkServlet 'dispatcherServlet': initialization started
2018-12-14 14:44:30,812 [http-nio-8111-exec-1] INFO  o.s.web.servlet.DispatcherServlet 513 - FrameworkServlet 'dispatcherServlet': initialization completed in 48 ms
2018-12-14 14:44:30,920 [http-nio-8111-exec-1] INFO  com.cfygit.parent.aop.ReqAspect 56 - 执行方法前:127.0.0.1
2018-12-14 14:44:30,926 [http-nio-8111-exec-1] INFO  com.cfygit.parent.controller.hello 20 - ffz
2018-12-14 14:44:31,141 [http-nio-8111-exec-1] INFO  c.alibaba.druid.pool.DruidDataSource 106 - {dataSource-1} inited
2018-12-14 14:44:31,853 [http-nio-8111-exec-1] INFO  com.cfygit.parent.aop.ReqAspect 59 - 执行方法后:/h
2018-12-14 15:06:53,463 [main] INFO  com.cfygit.parent.ParentApplication 50 - Starting ParentApplication on ecitic-PC with PID 352736 (D:\wangyegithub\parent\target\classes started by ecitic in D:\wangyegithub\parent)
2018-12-14 15:06:53,471 [main] INFO  com.cfygit.parent.ParentApplication 652 - No active profile set, falling back to default profiles: default
